0,1,2,3,4,5,6,7,8,9,10,11,12,13
SOROCHAN,RAJABIU,OLG,PIAC,SPEAKER,WOOHEAD,SPEAKER,SILEC,NALLY,TURGEON,COMMSSIONER,SILEC,CBB,ELLIS
CBC,BOWLER,CHAIPERSON,CPP,RUBINSTEIN,WSP,CTS,PRICE,COMMSSIONER,CTRC,PIAC,MDU,MTS,BROUILLETTE
REPORTERS,NWT,ADILI,UNICEF,FENSKE,CRANDALL,BISSONNETTE,PRESIDENT,PIAC,COMMISSIONSER,CAMICO,AMBROSONE,BRAGG,PIAC
ICT,BDC,MTS,KHOO,ISP,ABC,GAUVIN,ECG,ERN,AUDET,NASA,DFS,TAIRE,TACIT
KNET,QINIQ,DINESEN,SOKOLOV,COMMISSIONER,REPORTERS,DANIELS,ISP,TUSK,PETAWABANO,ODSP,JOHNSON,ISP,ISP
NGA,SHEPHERD,FSS,SPEAKER,GPS,HSA,VCO,COMMISSIONER,IPTV,COMMISSIONER,REPORTERS,MTS,COMMISSIONER,COMMISSIONER
INAC,CFO,TAIRE,TAIRE,BCN,SPO,ISP,HANDA,RESPONSE,REPORTERS,CANADA,CFO,TELE,CIPPIC
CISCO,PROCTOR,ISP,MEMBER,REPORTERS,WOODHEAD,COMMISSIONER,FIORINI,MTS,DSL,TDM,TAKAHASHI,ADISQ,RFI
MIOLNAR,TAIRE,COMMISSIONER,COMMISSIONER,FESKE,MTBF,VRS,SME,MRI,CPAC,URL,TAIRE,REPORTERS,OACD
NSIF,ISP,PRUDHAM,VRS,SCM,RAJABIUN,EWOC,EDWARDS,CMEC,ACC,VOIP,ISP,SECR,CBC
ABRAMSON,COMMISSIONER,BECK,CRC,LOUIE,CHRIS,DVD,CNOC,ISP,COMMISIONNER,UNDERTAKING,COMMISSIONER,NCF,REPORTERS
MTL,RFI,COMMISISONER,CBC,LAMP,UNDERTAKING,CBC,NTR,COMMISSIONER,TELUS,MDA,LUSSIER,DSL,MCC
UNDERTAKING,CSU,GPS,ROCHON,EORN,COMMMISSIONER,FTTH,DSL,VRS,MOSES,MOLNAR,NAS,FTTN,NCF
MOLNAR,HOLLIS,LENEHAN,ODSP,COMMISIONER,MOLNAR,ILEC,REPORTERS,MEMBER,LTE,SHORT,HOLMES,FTTP,DSL
IPTO,CBC,SECR,SECR,RCMP,BIRCH,ODSP,XYZ,TMR,SECRETARY,OSBORNE,SECR,VDSL,CNOC
ELVEY,HAMLEY,HANLEY,NCF,AFM,VENNARD,REPORTERS,SLA,ILEC,ECN,WHITE,RBS,NBN,FTTN
MULNAR,PRESTON,DSL,CNOC,LEBLANC,TIBBS,CAV,ISED,BRAND,MOLNAR,VENNARD,DSL,FTP,SANDIFORD
SES,BABSTOCK,LUNAU,REPORTERS,SECRETARY,LAUGHTER,DSL,QOS,REPORTERS,SHORT,UNKNOWN,REPORTERS,CANARIE,FTTP
VENNARD,SECR,REPORTERS,OEB,UNDERTAKING,ADSL,ICT,TELUS,NCF,SIDENT,CHAPMAN,BTS,EORN,CPAC
DNSSEC,NCF,PRUDHOM,TETLOCK,MOLNAR,ASL,FOR,CCA,DSL,VENNARD,CIRA,BLACK,VOIP,HICKEY
CIRA,DSL,ITU,SEPULVEDA,CFL,ISEC,PROGRAM,PERCY,WATT,TOON,AAC,VDSL,TELUS,CCTS
LAUGHTER,BLAIS,CCTS,LEIVER,GDP,FOLINO,POS,RRBS,VDSL,MELAN,MLA,WISP,FCC,SIP
NET,MBA,LEOV,AFM,SIDENT,MACDONALD,WGCAG,LTE,ITU,LOON,ROBINSON,WRIGHT,SECRETARY,EORN
SOMMA,REPORTERS,ADAMS,VOIP,ORB,CAD,CART,ARPU,CRA,PRESENTATION,LAUGHTER,ACTQ,UNDERTAKING,TELUS
FNEC,FTTP,EORN,TELUS,VENNARD,CRA,TELEPHONE,SECRETARY,EORN,AAC,ADSL,CHAIRMAN,NBA,SSI
ITMP,EMON,COMMISIONER,LALONDE,UNKNOWN,CSR,MALCOLMSON,UNDERTAKING,ISED,LAUGHTER,ASL,ISED,WINSOR,TABISH
KRG,FELL,LTE,NGO,RFP,SPADOTTO,CHS,EOWC,TELUS,THE,VPN,RCMP,CEO,HAMILTON
WHITEDUCK,MANOLL,ROMAN,FCC,BDFM,OCR,VPN,CEO,WALLSTEN,PAUSE,LAUGHTERS,OTS,DOCSIS,SECRETARY
NDT,EORN,SECRETARY,DOWNING,POTS,ISP,TELUS,MOLNAR,CHUNG,ONT,MACDONALD,LTE,EXEDE,MOLNAR
HUDSON,RCMP,UNDERTAKING,SECRETARY,DONALD,COMMISSIONER,FLAHERTY,BSO,LTE,SEBJ,PSA,FCC,DNA,DNA
GIS,SSI,CEO,UNDERTAKING,GMF,GPS,CHAIRPERSOIN,DOCSIS,FCC,CRTC,GANDER,PETRUK,TSP,TSP
IPT,NCIS,MOLNAR,AHPUMA,EKOS,CAV,DEAF,SHORT,MPS,MENZIES,CDMA,SIRA,VLAN,SIDENT
AWASHISH,ALEXANDER,DINESON,CIC,PRESENTATION,MOLNER,AODA,PIERCY,SECRETARY,CHAIRPERSON,ISP,SECRETARY,VENNARD,VENNARD
ISP,LTE,MAX,CEO,AAC,LOWELL,IBR,IXPL,NBC,GLUSTEIN,COMMISSIONER,LAWRENCE,RFP,ACORN
COMMISSIONER,ATCO,TSP,TDD,MKO,BOB,FCC,VENNARD,UNDERTAKING,,KINNON,BILEC,ACORN,DONALD
DEF,SECRETARY,VENNARD,USA,THE,SCHMIDT,LTE,LAYTON,CEO,,GPS,UNDERTAKING,DONALD,MVNO
FTTH,UNDERTAKING,DSA,WHITE,CRTC,HAAS,CAPTIONING,RFP,MOLNAR,,FTTN,CEO,PEI,CIRA
MYRTH,EOWC,DONALD,TSP,BSO,TELUS,SECRETARY,DONALD,HST,,WRIGHT,BSO,PRESENTATION,TABASH
CFB,RAJABIUN,VANTAGE,CAMERON,MENZIES,COMMISIONER,UNDERTAKING,CCSA,TULK,,ANSER,MOLNAR,BPN,PRESENTATION
CPAC,CEO,DTH,LAWFORD,CHAIRPERSON,FCC,VRI,CHAIRMAN,LAHAISE,,ISED,RIZVI,LAUGHTER,LAUGHTER
RITZO,MOLNAR,PRESENTATION,VENNARD,FCM,SECRETARY,DTA,MUSH,HUNG,,TELUS,MERH,MOORE,LAND
ISED,TMZ,HTS,HOLLAND,PSAB,VRI,CEO,DIRSTEIN,DNA,,FCC,DOCSIS,ADSL,THE
FCC,BROWN,SCOTT,UNKNOWN,,FRANKEL,BDA,PRESENTATION,VENNARD,,WLYER,COWLING,MRC,CHAIRPERSON
MLS,NBDC,SOMMA,RICHARD,,TSP,BSO,VAN,SLAWNER,,SECRETARY,EMBERLY,PPP,ITMP
SECRETARY,SHORT,LVPBI,ACORN,,RDSP,SHORT,UHF,RGI,,BORLEY,ALLARD,MEZEI,PEZ
PRATT,CBO,THE,ROWLAND,,MARTIN,PDF,MRPA,EVANS,,ROY,TPIA,THE,BDU
IXPL,GDP,VPN,DONALD,,ACORN,MALKOWSKI,LAUGHTER,RFP,,RFP,TSP,ITMP,CMR
TSP,BURTON,CHAIRPERSON,PRESENTATON,,DWCC,BCE,THE,BBS,,ACORN,GAY,CRTC,CRTC
ROY,MCS,LENEHEN,COSCO,,KILPATRICK,TSP,ICOM,ACORN,,POTS,VENNARD,ILEC,MENZIES
MAHON,ILX,ITMP,EKOS,,ATM,VENNARD,PAUSE,WUDRICK,,NCRA,CDONALD,MENZIES,TRIBE
CSV,CIUS,MACDONALD,FORD,,SCHULTZ,CAB,MACDONALD,CTF,,BDU,YAM,CHAIRPERSON,OECD
POTS,VENNARD,CRTC,MENZIES,,ILEC,VIA,CRTC,CCSA,,CANARIE,LEC,SIDENT,CISC
CHAIRMAN,BAP,BSO,CHAIRMAN,,SLQ,DSA,ILEC,EKOS,,ILEC,RFP,CARRA,
TRP,RFP,KRG,AUC,,CHAIRPERSON,UNKNOWN,CTSR,HAISE,,CHAIRPERSON,MEHR,,
TSAG,DEW,MENZIES,PRESENTATION,,BAF,DEMONSTRATION,MENZIES,DONALD,,MELDRUM,DONALD,,
ILEC,DSU,NRTC,AAC,,COMMISISSIONER,ACORN,RAMSAY,NORRIS,,ATELCO,RPU,,
REDA,JONES,VIDEO,JOHN,,CHAIRPEROSN,GRECO,CHAIRPERSON,PRESENTATION,,NYC,EKOS,,
CHAIRPERSON,DONALD,SIDENT,AUDIENCE,,TAIRE,DONALD,SIDENT,AMOS,,GODFREY,PAPE,,
VIDEO,EKOS,,LAUGHTER,,AUDET,RFP,,DINSMORE,,TAIRE,ITPA,,
CARPENTER,SPINU,,USF,,CNOC,DTH,,AAC,,DSL,WIND,,
STEWART,PRESENTATION,,AARON,,ROOTS,ROBERGE,,LAUGHTER,,LTE,PRESENTATION,,
OPEX,AAC,,GOVERN,,LTE,RAE,,TCH,,AUER,MILLER,,
ITP,MLA,,LAU,,LANGDON,CHAIRMAN,,SOLMAN,,ICF,DUCHCHERER,,
DUMOULIN,LAUGHTER,,ASL,,MARSH,PRESENTATION,,MKO,,IMAC,MLA,,
TAIRE,FRASER,,THE,,DONALD,AAC,,ADSL,,DONALD,LAUGHTER,,
OACD,PPP,,DUNCAN,,CCSA,LAUGHTER,,BLACKWELL,,EKOS,DIAS,,
HANLEY,NET,,VPN,,PRESENTATION,TAC,,GRANDE,,RIRES,STEVENS,,
DSL,UPS,,ITMP,,MAC,ASL,,THE,,GAMMON,CFA,,
RIZO,THE,,TTY,,DSLAM,COYLE,,CHAIRPERSON,,PRESENTATION,STAKIC,,
SLA,CHAIRPERSON,,CMR,,THE,THE,,IPSOS,,THE,ISEC,,
LATOUR,MNA,,MACDONALD,,BCBA,PAUSE,,ATM,,MEO,THE,,
LTE,PAUSE,,CRTC,,TTY,TTY,,MACDONALD,,WYLER,BCBA,,
WINSECK,EIRP,,BSO,,RPO,BAINE,,CRTC,,OECD,ITMP,,
IPV,DANA,,IPTV,,DND,CTV,,ESDC,,SIDENT,JTF,,
GDP,CRTC,,CHAIRPERSON,,LSQ,BARRETT,,GAO,,STYLES,ISAID,,
NSERC,BSO,,SIDENT,,KELLETT,LSQ,,MENZIES,,SPEAKER,CMR,,
DONALD,KRG,,CISC,,OECD,CRTC,,GRAHAM,,MTS,SIMPSON,,
EKOS,MENZIES,,,,MENZIES,MACDONALD,,SIDENT,,VRS,CRTC,,
WIND,PHILIPP,,,,NDSF,CNIB,,CSR,,HUTCHISON,ILEC,,
PRESENTATION,CRA,,,,ALLEN,MENZIES,,,,OCAD,ROI,,
ABRMASON,WARDEN,,,,TELCO,KRG,,,,SECR,MENZIES,,
THE,OHOKANNOAK,,,,DRO,CHAIRPERSON,,,,NCF,CHAIRPERSON,,
IPTV,,,,,MTS,CMR,,,,COP,VIDEO,,
OECD,,,,,TRS,SIDENT,,,,DUPUIS,SIDENT,,
MENZIES,,,,,VRS,CSR,,,,MIPS,,,
SIDENT,,,,,MDSF,,,,,ITU,,,
CARON,,,,,SECR,,,,,CEO,,,
NAN,,,,,CCTS,,,,,GEO,,,
KELVEY,,,,,WOODHED,,,,,SMART,,,
DCS,,,,,MTTR,,,,,IBM,,,
SECR,,,,,CEO,,,,,STEVENSON,,,
NCF,,,,,ALPHONSE,,,,,MUSH,,,
FMCC,,,,,LANDGON,,,,,CIO,,,
MCMAHON,,,,,TAF,,,,,PAUSE,,,
ANSWER,,,,,ANDERSON,,,,,CTO,,,
NISF,,,,,CRTC,,,,,CRTC,,,
KAPLAN,,,,,DAO,,,,,BSO,,,
IXP,,,,,BTS,,,,,MENZIES,,,
TCP,,,,,NEWMILLER,,,,,,,,
CTO,,,,,HSPA,,,,,,,,
CMR,,,,,,,,,,,,,
CRTC,,,,,,,,,,,,,
BSO,,,,,,,,,,,,,
NDP,,,,,,,,,,,,,
HSPA,,,,,,,,,,,,,